# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-14 12:56:46.213
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002408,0.0751,0.0661,0.1995,0.22
0.009135,0.0001,0.0951,0.3179,0.33
0.038695,-0.0085,0.1331,0.5772,0.59
0.038876,0.0887,0.1140,0.4927,0.51
0.044363,0.1950,0.0370,0.3412,0.39
0.049947,0.2457,-0.0188,0.2162,0.33
0.066292,0.0985,-0.0867,-0.1411,0.19
0.073756,0.0541,-0.0853,-0.3236,0.34
0.081987,0.0039,-0.1060,-0.4807,0.49
0.090020,-0.0140,-0.1179,-0.4638,0.48
0.106102,0.0521,-0.0887,-0.3183,0.33
0.113485,0.0375,-0.0844,-0.2206,0.24
0.121388,0.0931,-0.0728,0.0230,0.12
0.131037,0.1475,-0.0715,0.1497,0.22
0.146241,0.1903,-0.0648,0.1250,0.24
0.155369,0.1281,-0.0420,0.0332,0.14
0.164100,0.0185,-0.0128,0.0040,0.02
0.174339,-0.0314,-0.0148,-0.0897,0.10
0.179860,-0.0915,-0.0494,-0.1576,0.19
0.194233,-0.1148,-0.0399,-0.1061,0.16
0.206056,-0.1131,-0.0444,-0.0487,0.13
0.210209,-0.1018,-0.0245,-0.0107,0.11
0.225632,-0.1472,0.0278,0.1429,0.21
0.234405,-0.1354,0.0210,0.2399,0.28
0.242370,-0.0743,0.0253,0.2894,0.30
0.250314,0.0170,0.1075,0.3660,0.38
0.265834,0.0775,0.1484,0.3534,0.39
0.274076,0.1287,0.1112,0.3673,0.40
0.281830,0.1403,0.0678,0.3028,0.34
0.290377,0.1023,-0.0080,0.1670,0.20
0.306379,-0.0452,-0.0749,-0.1695,0.19
0.314546,-0.0490,-0.0673,-0.2321,0.25
0.323176,-0.0055,-0.0820,-0.2643,0.28
0.332607,-0.0126,-0.1214,-0.2924,0.32
0.340457,-0.0514,-0.1332,-0.2518,0.29
0.350706,-0.0861,-0.0794,-0.1206,0.17
0.365239,0.0436,0.0426,0.0869,0.11
0.373722,0.0769,0.0356,0.1469,0.17
0.381050,0.1227,0.0130,0.1236,0.17
0.392520,0.1254,-0.0436,0.0575,0.14
0.406474,0.0494,-0.0519,0.1268,0.15
0.416447,0.0589,-0.0161,0.1738,0.18
0.425792,0.1171,0.0201,0.0894,0.15
0.434050,0.1170,0.0085,-0.0112,0.12
0.442232,0.0756,-0.0154,-0.1165,0.14
0.450576,0.0108,-0.0434,-0.1719,0.18
0.466593,-0.0533,-0.0529,-0.1454,0.16
0.474234,-0.0126,-0.0511,-0.1474,0.16
0.484742,0.0140,-0.0529,-0.1619,0.17
0.490238,0.0348,-0.0734,-0.0666,0.10
0.506964,0.0278,-0.0693,0.2007,0.21
0.514809,-0.1105,0.0247,0.2040,0.23
0.522538,-0.1062,0.0499,0.1290,0.17
0.530884,-0.0877,0.0671,0.0688,0.13
0.546721,-0.1031,0.0157,0.0657,0.12
0.556442,-0.1018,-0.0069,0.0125,0.10
0.566398,-0.0922,-0.0149,-0.0504,0.11
0.573307,-0.0812,-0.0325,-0.0916,0.13
0.582923,-0.0706,-0.0640,-0.1234,0.16
0.596959,0.0018,-0.0988,-0.1471,0.18
0.604579,-0.0055,-0.0900,-0.1272,0.16
0.612993,0.0241,-0.0733,-0.0694,0.10
0.623606,0.0808,-0.0374,-0.0093,0.09
0.634139,0.0977,-0.0873,0.0831,0.16
0.642188,0.1342,-0.1039,0.0604,0.18
0.650782,0.1089,-0.1258,0.0212,0.17
0.666808,0.0868,-0.1392,-0.0544,0.17
0.674893,0.1101,-0.1448,-0.0479,0.19
0.682544,0.1489,-0.0933,-0.0173,0.18
0.690785,0.1627,-0.0471,0.0133,0.17
0.707132,0.1128,-0.0488,0.0686,0.14
0.715831,0.0574,-0.0749,0.0476,0.11
0.723204,0.0378,-0.0632,-0.0041,0.07
0.731010,-0.0061,-0.0496,-0.0772,0.09
0.746351,-0.0206,-0.0175,-0.2216,0.22
0.755781,-0.0239,-0.0555,-0.2338,0.24
0.763004,0.0120,-0.0537,-0.1652,0.17
0.771765,0.0322,-0.0559,-0.0897,0.11
0.780314,0.0776,-0.0340,-0.0429,0.09
0.789125,0.0752,0.0284,-0.0679,0.11
0.803488,0.0866,0.0471,-0.1011,0.14
0.813020,0.0843,-0.0014,-0.0470,0.10
0.821703,0.0588,0.0074,0.0573,0.08
0.831478,-0.0056,0.0111,0.1212,0.12
0.839220,-0.0474,0.0309,0.1783,0.19
0.850223,0.0193,0.0091,0.1187,0.12
0.859113,0.0161,-0.0279,0.0067,0.03
