# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-15 12:23:29.691
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002132,-0.0945,-0.0266,-0.0555,0.11
0.015336,0.0142,0.0646,0.0224,0.07
0.023396,0.0649,0.0931,0.0450,0.12
0.039120,0.0669,0.2116,0.0265,0.22
0.048424,-0.1970,0.8033,0.0914,0.83
0.056468,0.0408,0.3285,-0.1750,0.37
0.063078,-0.0064,0.1484,-0.2751,0.31
0.073332,-0.0637,-0.0102,-0.2553,0.26
0.081014,-0.0310,-0.0366,-0.1952,0.20
0.094294,0.0150,-0.0559,-0.0970,0.11
0.106663,0.0531,-0.0875,-0.1154,0.15
0.114553,0.1211,-0.1670,-0.1202,0.24
0.122168,0.1636,-0.1914,-0.0919,0.27
0.134376,0.1866,0.1128,0.1198,0.25
0.143639,0.2876,0.1239,0.0567,0.32
0.158666,0.2884,-0.1044,-0.0669,0.31
0.166891,0.4130,-0.0531,-0.0211,0.42
0.174676,0.4256,-0.4263,-0.2578,0.66
0.182794,0.3117,0.2696,0.0876,0.42
0.197741,0.2583,0.2750,0.0824,0.39
0.207529,0.0310,-0.3952,-0.1726,0.43
0.215155,0.0280,-0.3565,-0.1874,0.40
0.223111,-0.0623,-0.0540,-0.1176,0.14
0.231490,-0.1475,0.0697,0.0024,0.16
0.240830,-0.1080,-0.0526,0.0269,0.12
0.253907,-0.2553,-0.1123,0.0501,0.28
0.263417,-0.3078,-0.0762,0.0271,0.32
0.273366,-0.2338,-0.0330,-0.0075,0.24
0.285848,-0.2046,-0.0067,-0.0699,0.22
0.293823,-0.1896,-0.0235,-0.0383,0.19
0.302090,-0.1605,-0.0138,-0.0404,0.17
0.317975,-0.1249,-0.1258,-0.0595,0.19
0.325845,-0.1131,-0.2187,-0.0600,0.25
0.333711,-0.0916,-0.2732,-0.0082,0.29
0.341723,-0.0673,-0.3109,0.0168,0.32
0.357204,-0.0337,-0.2955,0.0545,0.30
0.365651,-0.0197,-0.2495,0.0692,0.26
0.373647,-0.0125,-0.1818,0.0616,0.19
0.381697,-0.0435,-0.1260,0.0512,0.14
0.396764,-0.0887,-0.1366,0.0334,0.17
0.405687,-0.1246,-0.1911,0.0360,0.23
0.414594,-0.1508,-0.2507,0.0390,0.30
0.422368,-0.1723,-0.3030,0.0877,0.36
0.432053,-0.1840,-0.3267,0.1435,0.40
0.445278,-0.1586,-0.3088,0.2098,0.41
0.455916,-0.1927,-0.2555,0.1869,0.37
0.464620,-0.2192,-0.2141,0.1852,0.36
0.473039,-0.2499,-0.1775,0.1641,0.35
0.485152,-0.3193,-0.0882,0.1301,0.36
0.493201,-0.3342,-0.0640,0.1478,0.37
0.508349,-0.2733,0.0320,0.3244,0.43
0.518654,-0.4746,-0.0093,0.0536,0.48
0.525730,-0.3721,-0.1725,-0.2236,0.47
0.534174,-0.2712,-0.1962,-0.1185,0.36
0.541663,-0.1804,-0.0757,0.0689,0.21
0.559461,-0.1343,-0.1215,0.1539,0.24
0.566250,-0.1146,-0.1757,0.1553,0.26
0.574841,-0.1340,-0.1459,0.1399,0.24
0.582898,-0.1690,-0.0085,0.3784,0.41
0.591088,-0.1679,0.0087,0.2324,0.29
0.604819,-0.0860,-0.1673,0.1350,0.23
0.617307,0.0162,-0.2240,0.1160,0.25
0.624814,-0.0280,-0.2973,0.0801,0.31
0.633021,-0.0675,-0.3489,0.0294,0.36
0.645316,-0.1383,-0.2558,0.0094,0.29
0.652542,-0.1957,-0.1353,-0.0027,0.24
0.665765,-0.1882,0.0422,0.0126,0.19
0.677060,-0.2112,0.2381,-0.0588,0.32
0.684848,-0.1968,0.2779,-0.1066,0.36
0.693122,-0.1999,0.2911,-0.1173,0.37
0.704185,-0.1537,0.2850,-0.1393,0.35
0.715948,-0.0690,0.1944,-0.1469,0.25
0.724802,-0.0926,0.0571,-0.1329,0.17
