# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-15 12:23:29.691
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.732633,0.0647,0.0110,-0.2049,0.22
0.748293,0.0955,-0.1408,-0.1933,0.26
0.755469,0.1225,-0.1026,-0.1215,0.20
0.763974,-0.1098,0.0027,-0.0017,0.11
0.771516,0.1007,0.0744,-0.0923,0.16
0.787867,0.1615,0.3256,-0.1054,0.38
0.797964,0.6641,0.2895,-0.4840,0.87
0.805609,-0.3382,0.3443,0.0802,0.49
0.813630,0.0037,0.2765,-0.1819,0.33
0.821555,0.0885,0.1918,-0.2297,0.31
0.836689,0.2901,0.0225,-0.2462,0.38
0.849503,0.8698,-0.1028,-0.7056,1.12
0.851835,0.0350,0.0386,0.1065,0.12
0.867939,0.1921,0.0361,-0.0812,0.21
0.875232,0.1899,0.0282,-0.1770,0.26
0.884028,0.1633,0.0466,-0.3661,0.40
0.891974,-0.3709,0.2636,0.1386,0.48
0.907297,-0.2461,0.1387,-0.1773,0.33
0.915356,-0.2310,0.0225,-0.1974,0.30
0.923271,0.0808,-0.1823,-0.4834,0.52
0.931416,-0.3512,-0.1509,0.0040,0.38
0.947211,-0.2261,-0.1412,-0.0061,0.27
0.955311,-0.2471,-0.2585,-0.0699,0.36
0.964565,-0.0843,-0.1839,-0.0550,0.21
0.973883,-0.0870,-0.1405,-0.0498,0.17
0.982659,-0.1020,-0.1137,-0.0540,0.16
0.990840,-0.2268,-0.0704,-0.0076,0.24
1.003178,-0.4878,-0.2120,-0.0830,0.54
1.014718,-0.1546,-0.0421,-0.1269,0.20
1.024559,-0.1770,-0.1210,-0.0703,0.23
1.035220,-0.2016,-0.2639,-0.1184,0.35
1.042897,-0.1723,-0.3110,-0.1110,0.37
1.051520,-0.2035,-0.3361,-0.1285,0.41
1.066530,-0.2632,-0.3858,-0.1210,0.48
1.074739,-0.3369,-0.4609,-0.1025,0.58
1.081935,-0.4888,-0.5218,-0.0792,0.72
1.098780,0.0530,-0.3693,0.0519,0.38
1.106346,-0.0753,-0.4841,0.0419,0.49
1.114586,-0.0090,-0.5216,0.0335,0.52
1.122257,0.0886,-0.5390,0.0379,0.55
1.138373,-0.5112,-1.2755,-0.0070,1.37
1.149228,0.1253,-0.8521,0.1136,0.87
1.155850,0.3669,-0.4120,0.1911,0.58
1.164071,0.4351,-0.2430,0.2116,0.54
1.172658,0.5938,0.0136,0.1754,0.62
1.181427,0.6809,-0.3869,0.1745,0.80
1.194406,0.3253,-0.5309,0.1818,0.65
1.202505,0.2557,-0.4620,0.2311,0.58
1.218417,-0.0997,-0.2470,0.1632,0.31
1.225594,-0.7560,-0.6310,0.0795,0.99
1.234653,-1.0644,-0.9429,0.0842,1.42
1.241928,-1.9345,0.2492,-0.2176,1.96
1.258610,0.7771,0.0768,0.1010,0.79
1.266764,-0.1648,-0.2576,0.0337,0.31
1.273597,-0.2954,-0.4267,0.0437,0.52
1.282935,-0.2974,-0.4756,0.0894,0.57
1.291310,-0.3369,-0.5670,0.0946,0.67
1.309355,-0.8695,-0.6040,0.2631,1.09
1.317030,-0.8370,-0.6196,0.0733,1.04
1.324966,-0.7908,-0.6837,-0.0250,1.05
1.333105,-1.0582,-1.3293,-0.1216,1.70
1.345527,-0.2375,-0.4609,0.0707,0.52
1.360781,0.9408,-0.5689,0.1975,1.12
1.362831,0.2259,-0.1271,0.0095,0.26
1.374074,0.7131,-0.2392,-0.6765,1.01
1.385541,-0.6101,-0.2398,-0.2360,0.70
1.392951,-0.5144,-0.2906,-0.3065,0.67
1.401392,-0.4962,-0.3175,-0.2655,0.65
1.417550,-0.6734,-0.8281,-0.1681,1.08
1.425606,0.0243,0.0010,-0.0042,0.02
1.434071,0.5926,0.7120,0.1374,0.94
1.442051,0.4423,0.3882,0.1263,0.60
1.457149,0.1671,0.2497,0.0229,0.30
1.466042,0.1595,0.3139,0.0165,0.35
1.475671,0.0813,0.4092,-0.0148,0.42
1.484108,-0.3947,0.2413,-0.0240,0.46
1.491977,-0.7068,-0.1969,-0.1126,0.74
1.504904,0.1333,1.4496,0.1052,1.46
1.517148,0.1383,1.6495,0.1044,1.66
1.525516,0.4025,1.7675,0.0749,1.81
1.533114,0.9403,2.5030,0.2322,2.68
1.544379,1.3988,2.3975,0.1268,2.78
1.559665,0.2253,2.0601,0.8983,2.26
1.566643,0.2993,2.2119,0.9797,2.44
1.576245,0.2838,2.5508,1.3219,2.89
1.584451,0.3864,2.7250,1.4217,3.10
1.592666,0.4786,2.8434,1.4370,3.22
1.608636,0.5812,3.0823,1.5586,3.50
1.617168,0.5996,3.3298,1.6978,3.79
1.624816,0.6664,3.6394,1.8603,4.14
1.632721,0.7220,3.8364,1.8951,4.34
1.648047,0.6999,4.2617,1.8091,4.68
1.656806,0.8186,4.5278,1.9877,5.01
1.666226,0.9827,4.6537,2.2000,5.24
1.674651,1.2495,4.7159,2.4436,5.46
1.682299,1.4650,4.7652,2.6483,5.65
1.695844,1.3878,5.2002,2.7127,6.03
1.707705,1.5003,5.3962,2.7699,6.25
1.713582,1.1333,5.8678,2.8453,6.62
1.728822,0.6897,6.7329,2.8263,7.33
1.734973,0.5380,6.4562,2.6541,7.00
1.742027,0.1068,7.0024,2.8827,7.57
1.758588,-0.1622,7.7981,2.2777,8.13
1.766599,-0.0805,7.9739,2.3545,8.31
1.775641,-0.2415,8.4977,2.5468,8.87
1.783274,-0.2456,8.8019,2.6339,9.19
1.791099,-0.0241,8.8990,2.4409,9.23
1.806773,0.0133,8.5616,2.3152,8.87
1.816364,0.2441,8.4429,2.2778,8.75
1.823074,-0.0580,8.2587,3.0653,8.81
1.832251,0.1457,8.2695,1.5481,8.41
1.846045,0.1866,7.6705,0.5283,7.69
1.857350,0.8933,7.4098,1.0934,7.54
1.865443,1.4630,7.0422,1.1660,7.29
1.874052,1.9588,6.6393,0.8343,6.97
1.883002,2.4740,6.3342,0.5343,6.82
1.894491,2.8179,5.0674,-0.0614,5.80
1.907971,2.9192,3.7054,-0.2618,4.72
1.914822,2.7319,1.5190,-1.1197,3.32
1.927181,2.0190,-3.7996,-3.1973,5.36
1.934977,1.5392,-6.8139,-3.4694,7.80
1.943407,1.4845,-10.2684,-3.1067,10.83
1.958395,3.2025,-16.3337,-1.2872,16.69
1.967159,4.9416,-17.8183,-4.1286,18.95
1.974600,7.8670,-18.7545,-9.6009,22.49
1.982896,10.0683,-19.6687,-13.2333,25.76
1.991645,10.5071,-18.4824,-13.6084,25.24
2.006386,7.2039,-15.8012,-4.1348,17.85
2.015338,4.2198,-13.9728,1.3794,14.66
2.022537,-0.0607,-12.0686,3.8158,12.66
2.031914,0.9488,-10.7108,3.0478,11.18
2.041081,-1.5357,-8.6863,0.9540,8.87
2.053876,-5.4836,-5.6649,-1.9233,8.12
2.067554,-4.5645,-3.4175,-2.1906,6.11
2.075361,-2.7801,-2.3104,-2.5057,4.40
2.083909,-1.3798,-3.6986,-3.1293,5.04
2.091837,-0.1395,-5.5104,-3.5424,6.55
2.101705,2.2494,-9.8879,-3.8207,10.84
2.118208,2.1606,-12.2284,-3.6410,12.94
2.125944,1.1646,-12.6625,-3.2688,13.13
2.134603,0.3475,-12.8372,-2.7513,13.13
2.142516,-1.2460,-11.9935,-2.0708,12.23
2.156998,-1.5914,-9.0386,-1.7663,9.35
2.168098,-1.3596,-8.3661,-1.7206,8.65
2.174915,-1.0257,-8.1501,-1.6263,8.37
2.183041,-0.4119,-8.1904,-1.8210,8.40
2.191815,0.1097,-8.3051,-2.3594,8.63
2.205399,-0.1568,-8.6884,-3.7386,9.46
2.214387,-0.4543,-8.9744,-3.9819,9.83
2.224658,-0.3545,-9.5529,-4.0299,10.37
2.233353,0.1045,-10.0609,-4.1861,10.90
2.242281,0.4384,-10.3375,-4.3544,11.23
2.253728,1.9095,-10.6927,-3.8638,11.53
2.264941,3.0812,-10.9199,-3.1360,11.77
2.275303,4.4747,-11.2019,-1.9663,12.22
2.285593,7.3190,-10.9949,-2.1946,13.39
2.293318,8.3695,-10.0696,-2.6495,13.36
2.301468,9.0890,-7.7370,-4.8054,12.87
2.316912,11.0932,-2.4420,-1.0905,11.41
2.325072,11.8854,1.1943,1.9072,12.10
2.333310,12.8575,7.1157,1.7471,14.80
2.341370,12.1487,12.8067,-0.1668,17.65
2.357145,-3.5738,21.9379,0.8047,22.24
2.364308,-5.8001,26.3649,4.0389,27.30
2.373639,-8.1939,26.8436,4.6398,28.45
2.381359,-12.4171,23.7275,6.9921,27.68
2.397372,-7.6866,10.8429,-0.2426,13.29
2.407091,-5.9999,8.2248,-2.8558,10.57
2.415651,-5.4317,7.1957,0.3685,9.02
2.425467,-1.9944,5.4487,5.0910,7.72
2.433212,-0.1591,5.2535,3.2445,6.18
2.441502,1.7910,3.2432,0.9732,3.83
2.452302,3.6244,-0.1950,0.5483,3.67
2.467375,0.7659,1.0813,2.1337,2.51
2.475804,-0.6695,0.8535,2.7486,2.95
2.483924,-2.2656,-0.6674,2.5801,3.50
2.492500,-2.7055,-1.8445,1.5374,3.62
2.500828,-1.0430,-1.9759,0.9393,2.42
2.515394,2.2231,-0.9015,0.7168,2.50
2.524843,1.8813,-0.7327,0.9475,2.23
2.532742,1.5122,-0.0091,1.5880,2.19
2.548291,-1.9936,3.3193,2.2899,4.50
2.556321,-1.9054,5.1721,2.5521,6.07
2.565892,-2.3537,5.8471,2.5244,6.79
2.574980,-2.4054,5.5145,1.6090,6.23
2.582947,-2.3878,4.3957,0.3538,5.01
2.591463,-2.3555,3.2187,-0.3893,4.01
2.603844,-1.7362,2.5632,-0.0193,3.10
2.613296,-2.1274,2.0961,0.5334,3.03
2.624193,-2.2964,1.3871,0.9498,2.85
2.633709,-0.6567,1.2809,0.7592,1.63
2.644110,-1.3419,1.5942,1.8896,2.81
2.651589,-1.3783,2.1639,2.3770,3.50
2.667609,-0.8563,2.5636,1.5956,3.14
2.675118,-0.7038,2.5982,0.9548,2.86
2.682630,-0.5420,2.6175,0.5590,2.73
2.691926,-1.4762,1.2490,0.1079,1.94
2.707494,0.5643,1.6974,-0.1912,1.80
2.717571,0.7269,1.5783,-0.1129,1.74
2.723950,0.8517,0.6340,0.0539,1.06
2.731900,1.0441,-0.3870,0.2538,1.14
2.747057,0.9975,-1.5164,0.5750,1.90
2.755526,0.5439,-1.6115,0.7062,1.84
2.768043,0.0556,-1.4135,0.7709,1.61
2.771016,-0.4936,-0.9515,0.7704,1.32
2.786355,-1.0286,-0.1885,0.2733,1.08
2.796713,-1.0808,0.1061,-0.0277,1.09
2.805385,-1.0930,0.4005,-0.3012,1.20
2.813692,-0.9892,0.6449,-0.4403,1.26
2.826507,-0.6072,1.0768,-0.5046,1.34
2.834606,-0.3844,1.2146,-0.5079,1.37
2.842108,-0.2047,1.2726,-0.4974,1.38
2.851109,-0.1224,1.2361,-0.4532,1.32
2.866812,0.0039,0.9455,-0.2578,0.98
2.875259,0.1307,0.6495,-0.1090,0.67
2.881937,0.2687,0.3549,-0.0066,0.45
2.898568,0.3909,-0.2526,0.1630,0.49
2.907200,0.3913,-0.3684,0.2285,0.58
2.916760,0.3948,-0.3406,0.2288,0.57
2.924544,0.4113,-0.2005,0.1954,0.50
2.932724,0.4261,-0.0202,0.1101,0.44
2.941071,0.4431,0.1365,0.0169,0.46
2.954997,0.4040,0.3731,-0.0897,0.56
2.963627,0.3881,0.4031,-0.1131,0.57
2.973618,0.3804,0.4166,-0.0929,0.57
2.981593,0.3978,0.4352,-0.0725,0.59
2.993789,0.4829,0.5333,0.0722,0.72
3.002323,0.5467,0.5982,0.0962,0.82
3.017926,0.6098,0.6375,0.0651,0.88
3.026157,0.5854,0.5951,0.0873,0.84
3.033774,0.4866,0.5383,0.1093,0.73
3.041620,0.3497,0.4888,0.1621,0.62
3.058038,0.0179,0.4931,0.3177,0.59
3.065979,-0.0963,0.5398,0.3800,0.67
3.074395,-0.0863,0.5796,0.4275,0.73
3.081813,-0.0605,0.5934,0.4461,0.74
3.097016,-0.0994,0.4392,0.5229,0.69
3.107833,-0.1315,0.3737,0.5524,0.68
3.115918,-0.2534,0.3223,0.6009,0.73
3.122106,-0.2997,0.2709,0.6527,0.77
3.131002,-0.3710,0.2438,0.6425,0.78
3.145961,-0.4345,0.2337,0.5574,0.74
3.159341,-0.4558,0.2601,0.5167,0.74
3.165433,-0.3285,0.2220,0.5259,0.66
3.172927,-0.2486,0.2625,0.5261,0.64
3.181695,-0.1872,0.1853,0.4816,0.55
3.192808,-0.1434,0.1019,0.3352,0.38
3.201077,-0.1227,0.1101,0.2034,0.26
3.221275,-0.0823,0.2431,0.2319,0.35
3.224469,-0.1040,0.2458,0.1704,0.32
3.232621,0.0448,0.1435,0.1359,0.20
3.241343,0.1637,0.0100,0.0475,0.17
3.255832,0.2904,-0.3420,0.0307,0.45
3.264782,0.3877,-0.5652,-0.0757,0.69
3.273114,0.4756,-0.6950,-0.0820,0.85
3.281329,0.5056,-0.7334,-0.0507,0.89
3.295624,0.6099,-0.6324,-0.1321,0.89
3.307143,0.6517,-0.5550,-0.2873,0.90
3.316279,0.7933,-0.5205,-0.3874,1.02
3.322561,0.8873,-0.4790,-0.4321,1.10
3.330816,0.9915,-0.4332,-0.4641,1.18
3.344596,0.7417,-0.6042,-0.4514,1.06
3.352721,0.8495,-0.6030,-0.4403,1.13
3.368391,0.5519,-0.6140,-0.4422,0.94
3.376659,0.4612,-0.6136,-0.4826,0.91
3.385005,0.3672,-0.6320,-0.4728,0.87
3.393443,0.3559,-0.6644,-0.4629,0.88
3.407861,0.3355,-0.7546,-0.4432,0.94
3.416744,0.3514,-0.8007,-0.4623,0.99
3.424254,0.3923,-0.7959,-0.4340,0.99
3.432566,0.3950,-0.7120,-0.4253,0.92
3.440842,0.3808,-0.6184,-0.4263,0.84
3.456077,0.2987,-0.4411,-0.4403,0.69
3.464530,0.3002,-0.3745,-0.4284,0.64
3.474360,0.2354,-0.3226,-0.3872,0.56
3.481655,0.1904,-0.2472,-0.3672,0.48
3.496263,0.3079,-0.2423,-0.2283,0.45
3.507437,0.3513,-0.1954,-0.1102,0.42
3.515952,0.3401,-0.1820,-0.0551,0.39
3.522486,0.3394,-0.1589,-0.0777,0.38
3.536260,0.0989,0.0944,0.0406,0.14
3.544022,-0.0325,0.1559,-0.0261,0.16
3.551245,-0.1373,0.1207,-0.1407,0.23
3.567315,-0.0975,-0.0312,-0.2192,0.24
3.575708,-0.0376,-0.1137,-0.2010,0.23
3.585198,0.0896,-0.1598,-0.0743,0.20
3.597647,0.2051,-0.2034,0.0274,0.29
3.607586,0.4960,-0.1892,0.0874,0.54
3.615586,0.5316,-0.1289,0.0991,0.56
3.623808,0.5567,-0.0712,0.0094,0.56
3.631360,0.4008,-0.0644,-0.0510,0.41
3.647860,0.1663,-0.0065,-0.1854,0.25
3.655354,0.0884,0.0202,-0.1896,0.21
3.666527,0.1234,-0.0374,-0.2311,0.26
3.673550,0.0190,-0.0355,-0.2206,0.22
3.682583,-0.0486,-0.0073,-0.1824,0.19
3.695401,0.1649,0.1471,-0.1025,0.24
3.708940,-0.0916,0.0019,-0.1431,0.17
3.711289,-0.0527,-0.0678,-0.2071,0.22
3.727199,0.0470,-0.2593,-0.2390,0.36
3.735064,0.1935,-0.2780,-0.2213,0.40
3.742865,0.2411,-0.2938,-0.2184,0.44
3.750883,0.2998,-0.2805,-0.1944,0.45
3.766626,0.3847,-0.1572,-0.1064,0.43
3.774106,0.3804,-0.0788,-0.0493,0.39
3.783063,-1.4795,4.1733,0.3856,4.44
3.798485,0.2159,-0.8901,-0.7805,1.20
3.806580,-0.0119,0.3584,0.1288,0.38
3.814462,-0.1380,0.8057,0.2146,0.85
3.822623,-0.3927,0.2177,0.1548,0.47
3.838456,-0.3269,0.1159,0.1497,0.38
3.849468,-0.2394,0.1208,0.1217,0.29
3.856482,-0.2196,0.2144,0.1302,0.33
3.865309,-0.1837,0.1144,0.0571,0.22
3.872648,-0.1669,-0.0475,0.0115,0.17
3.881508,-0.3142,-0.2524,0.0002,0.40
3.894725,-0.2004,-0.4779,0.0079,0.52
3.906184,-0.2107,-0.5381,0.0361,0.58
3.910975,-0.2114,-0.4743,0.0394,0.52
3.925510,-0.2847,-0.2369,-0.0838,0.38
3.934002,-0.3679,-0.2115,-0.0904,0.43
3.942325,-0.3452,-0.1526,-0.0954,0.39
3.958324,-0.1059,-0.0449,-0.1070,0.16
3.967469,0.0230,-0.0902,-0.0925,0.13
3.973910,0.0473,-0.1253,-0.0717,0.15
3.982740,0.0316,-0.1561,-0.0644,0.17
3.997994,-0.1301,-0.1680,-0.0904,0.23
4.006080,-0.1783,-0.1915,-0.0728,0.27
4.017569,-0.2312,-0.1763,-0.0276,0.29
4.025221,-0.2222,-0.1655,-0.0359,0.28
4.032741,-0.1995,-0.1806,-0.0472,0.27
4.045635,-0.0492,-0.2941,-0.0016,0.30
4.055651,-0.0262,-0.2782,0.0325,0.28
4.066182,-0.0296,-0.2002,0.0363,0.21
4.077092,0.0248,-0.1172,-0.0402,0.13
4.084932,0.0285,-0.1025,-0.0765,0.13
4.093827,0.0014,0.0009,-0.0773,0.08
4.101437,-0.0441,0.1166,0.0040,0.12
4.117320,-0.0667,0.1575,0.1275,0.21
4.124919,-0.0583,0.1255,0.1546,0.21
4.134229,-0.0931,0.1076,0.1516,0.21
4.141728,-0.1280,0.1418,0.1218,0.23
4.157035,-0.1891,0.1731,0.0115,0.26
4.166341,-0.1964,0.1806,0.0127,0.27
4.173204,-0.1042,0.0861,0.0337,0.14
4.181482,0.0108,0.0071,0.0911,0.09
4.197489,0.3183,-0.5094,0.0227,0.60
4.208550,0.0041,-0.4199,0.0370,0.42
4.217005,-0.0786,-0.1339,0.0876,0.18
4.224366,-0.1623,0.2684,0.1422,0.34
4.235284,-0.0348,0.3736,0.0654,0.38
4.244448,-0.0580,-0.0575,0.0671,0.11
4.251911,0.1675,-0.1415,0.1176,0.25
4.268000,0.0478,-0.1007,0.1573,0.19
4.275839,0.0616,-0.2060,0.1048,0.24
4.283969,0.0411,-0.3204,0.0663,0.33
4.291348,-0.0174,-0.3031,0.0634,0.31
4.307877,-0.1858,-0.1459,0.0040,0.24
4.316580,-0.1193,-0.3015,0.0041,0.32
4.323908,0.0084,-0.3501,0.0172,0.35
