,massa A,,
t,x,y,
0.000,5.207E-2,0.603
0.017,5.204E-2,0.600
0.034,5.197E-2,0.595
0.052,5.194E-2,0.593
0.069,6.175E-2,0.593
0.086,6.665E-2,0.593
0.103,7.152E-2,0.590
0.120,7.884E-2,0.587
0.137,8.368E-2,0.582
0.155,9.588E-2,0.577
0.172,0.103,0.585
0.189,0.118,0.577
0.206,0.130,0.572
0.223,0.145,0.560
0.241,0.159,0.557
0.258,0.196,0.534
0.275,0.218,0.522
0.292,0.242,0.504
0.309,0.259,0.485
0.327,0.286,0.472
0.344,0.308,0.459
0.361,0.332,0.439
0.378,0.354,0.410
0.395,0.380,0.387
0.412,0.399,0.358
0.430,0.419,0.330
0.447,0.438,0.291
0.464,0.452,0.261
0.481,0.466,0.227
0.498,0.478,0.195
0.516,0.490,0.170
0.533,0.502,0.141
0.550,0.509,0.111
0.567,0.521,8.142E-2
0.584,0.525,5.439E-2
0.601,0.525,3.232E-2
0.619,0.520,1.032E-2
0.636,0.522,-9.325E-3
0.653,0.524,-2.897E-2
0.670,0.514,-4.355E-2
0.687,0.507,-5.571E-2
0.705,0.509,-6.555E-2
0.722,0.509,-7.536E-2
0.739,0.502,-8.016E-2
0.756,0.511,-9.255E-2
0.773,0.504,-9.491E-2
0.790,0.504,-0.102
0.808,0.504,-0.107
0.825,0.504,-0.107
0.842,0.501,-0.110
0.859,0.501,-0.112
