,massa A,,
t,x,y,
3.639,0.529,-5.042E-3
3.656,0.528,-8.212E-3
3.673,0.529,-1.117E-2
3.690,0.529,-1.427E-2
3.707,0.529,-1.691E-2
3.723,0.529,-1.963E-2
3.740,0.529,-2.273E-2
3.757,0.529,-2.480E-2
3.774,0.529,-2.697E-2
3.791,0.529,-2.913E-2
3.808,0.528,-3.128E-2
3.824,0.529,-3.270E-2
3.841,0.529,-3.392E-2
3.858,0.528,-3.533E-2
3.875,0.528,-3.637E-2
3.892,0.528,-3.717E-2
3.909,0.528,-3.750E-2
3.926,0.528,-3.799E-2
3.942,0.528,-3.815E-2
3.959,0.528,-3.854E-2
3.976,0.528,-3.848E-2
3.993,0.528,-3.863E-2
4.010,0.528,-3.861E-2
4.027,0.528,-3.845E-2
4.044,0.528,-3.795E-2
